2025_01_05 US_0757 Hyde St Pier
So much noise Antena connection was a bit loose but didn't help Taping sraight key stub to USB-C power dongle did
-122.42137954085966
37.808348851614525
n6gc,2025/01/05 20:13:00,579,579
k5pe,2025/01/05 20:41:00,449,559
kn6rdc,2025/01/05 21:23:00,569,399,43.6908,-116.394
ai7rk,2025/01/05 21:32:00,559,339,46.958,-123.113 
kj7xj,2025/01/05 21:35:00,559,559,46.958,-123.113 
kj7cjg,2025/01/05 21:40:00,449,599
wt7b,2025/01/05 21:45:00,559,519
kj7rpl,2025/01/05 22:00:00,579,579
wa7rar,2025/01/05 22:08:00,559,559,42.44169863522867,-122.88592862042991
k7lvj,2025/01/05 22:11:00,449,539
k7mso,2025/01/05 22:12:00,339,399
n6kz,2025/01/05 22:16:00,559,599
al7kc,2025/01/05 22:27:00,229,419
